Date,Close
2017-12-27,"59,11"
2017-12-28,"59,31"
2017-12-29,"58,47"
2018-01-02,"59,45"
2018-01-03,"60,21"
2018-01-04,"60,48"
2018-01-05,"61,46"
2018-01-08,"62,34"
2018-01-09,"62,64"
2018-01-10,"62,72"
2018-01-11,"63,83"
2018-01-12,"65,26"
2018-01-16,"65,24"
2018-01-17,"64,75"
2018-01-18,"64,67"
2018-01-19,"64,73"
2018-01-22,"66,37"
2018-01-23,"68,13"
2018-01-24,"67,88"
2018-01-25,"68,9"
2018-01-26,"70,1"
2018-01-29,"70,88"
2018-01-30,"71,89"
2018-01-31,"72,54"
2018-02-01,"69,5"
2018-02-02,"71,5"
2018-02-05,"69,5"
2018-02-06,"72,14"
2018-02-07,"70,84"
2018-02-08,"67,53"
2018-02-09,"66,98"
2018-02-12,"69,31"
2018-02-13,"70,73"
2018-02-14,"72,55"
2018-02-15,"73,09"
2018-02-16,"72,43"
2018-02-20,"73,42"
2018-02-21,"74,15"
2018-02-22,"74,27"
2018-02-23,75
2018-02-26,"76,1"
2018-02-27,"75,6"
2018-02-28,"75,62"
2018-03-01,"74,67"
2018-03-02,"75,01"
2018-03-05,"76,18"
2018-03-06,"76,88"
2018-03-07,"77,25"
2018-03-08,"77,59"
2018-03-09,"78,94"
2018-03-12,"79,92"
2018-03-13,"79,41"
2018-03-14,"79,55"
2018-03-15,"79,12"
2018-03-16,"78,58"
2018-03-19,"77,25"
2018-03-20,"79,33"
2018-03-21,"79,09"
2018-03-22,"77,25"
2018-03-23,"74,78"
2018-03-26,"77,79"
2018-03-27,"74,85"
2018-03-28,"71,57"
2018-03-29,"72,37"
2018-04-02,"68,6"
2018-04-03,"69,6"
2018-04-04,"70,53"
2018-04-05,"72,59"
2018-04-06,"70,26"
2018-04-09,"70,3"
2018-04-10,"71,81"
2018-04-11,"71,35"
2018-04-12,"72,43"
2018-04-13,"71,54"
2018-04-16,"72,08"
2018-04-17,"75,19"
2018-04-18,"76,39"
2018-04-19,"77,85"
2018-04-20,"76,37"
2018-04-23,"75,89"
2018-04-24,73
2018-04-25,"73,01"
2018-04-26,"75,9"
2018-04-27,"78,63"
2018-04-30,"78,31"
2018-05-01,"79,11"
2018-05-02,"78,48"
2018-05-03,"78,6"
2018-05-04,"79,05"
2018-05-07,"80,01"
2018-05-08,"79,62"
2018-05-09,"80,4"
2018-05-10,"80,45"
2018-05-11,"80,15"
2018-05-14,"80,08"
2018-05-15,"78,81"
2018-05-16,"79,36"
2018-05-17,"79,09"
2018-05-18,"78,72"
2018-05-21,"79,27"
2018-05-22,"79,07"
2018-05-23,"80,09"
2018-05-24,"80,15"
2018-05-25,"80,51"
2018-05-29,"80,64"
2018-05-30,"81,24"
2018-05-31,"81,48"
2018-06-01,"82,08"
2018-06-04,"83,26"
2018-06-05,"84,82"
2018-06-06,"84,79"
2018-06-07,"84,47"
2018-06-08,"84,2"
2018-06-11,"84,46"
2018-06-12,"84,94"
2018-06-13,"85,24"
2018-06-14,"86,19"
2018-06-15,"85,8"
2018-06-18,"86,19"
2018-06-19,"86,74"
2018-06-20,"87,5"
2018-06-21,"86,51"
2018-06-22,"85,78"
2018-06-25,"83,16"
2018-06-26,"84,55"
